供应商名称,是否在合格供应商库,库内覆盖类别,库内物料数,库内物料示例,历史采购次数,最近采购流水号,最近采购日期,采购物料种类
武汉桐康生物科技有限公司,是,"包装材料, 生产耗材",2,转移袋Tr100; 转移袋（200mL）,2,202507290020,2025-07-29,2
武汉瀚海新酶生物科技有限公司,是,原材料,4,T7 RNA Polymerase; 全能核酸酶,0,,,0
武汉糖智药业有限公司,是,原材料,1,"ATP,100mM Solution",0,,,0
武汉翌圣生物科技有限公司,是,原材料,1,Hiff,0,,,0
武洁（VUJEEN)医疗保健京东自营旗舰店,否,,0,,2,202508120009,2025-08-12,1
江苏华兰药用新材料股份有限公司,是,包装材料,1,注射液用覆聚四氟乙烯/六氟丙烯的共聚物膜氯化丁基橡胶塞,0,,,0
江苏省勤奋药业有限公司,是,"原材料, 辅料",6,二水合氯化钙; 六水合氯化镁; 氯化钠,0,,,0
河北华晨药业集团有限公司,是,原材料,2,氯化钠; 碳酸氢钠,0,,,0
河北晋东贸易有限公司,是,包装材料,1,输血袋,0,,,0
河北泰禾春雨生物科技有限公司,是,原材料,3,慢病毒,0,,,0
泉州市睿信生物科技有限公司,否,,0,,3,202507170008,2025-07-17,3
泉心泉意(上海)生命科技有限公司,否,,0,,2,202508040011,2025-08-04,2
浙江泰林生命科学有限公司,否,,0,,1,202510150002,2025-10-15,1
浙江海昶生物医药技术有限公司,是,原材料,1,pAB401-BsaI-Linear,0,,,0
淘宝,否,,0,,1,202508110013,2025-08-11,1
深圳市卫光生物制品股份有限公司,是,辅料,1,人血白蛋白,0,,,0
深圳市达科为生物工程有限公司,是,原材料,5,CIK细胞无血清培养基; CIK细胞诱导培养试剂盒; SuperGrow®细胞培养添加物; 人外周血淋巴分离液,0,,,0
深圳赛桥生物创新技术有限公司,是,生产耗材,2,一次性细胞处理套件,0,,,0
添彩（TIANCAI）耗材京东自营旗舰店,否,,0,,1,202509260023,2025-09-26,1
湖南九典宏阳制药有限公司,是,"原材料, 辅料",4,一水合枸橼酸; 一水合磷酸二氢钠; 枸橼酸钠; 磷酸氢二钠十二水合物,0,,,0
